,Genotype,Treatment,Behavior,class
0,Control,Memantine,C/S,c-CS-m
1,Control,Memantine,C/S,c-CS-m
2,Control,Memantine,C/S,c-CS-m
3,Control,Memantine,C/S,c-CS-m
4,Control,Memantine,C/S,c-CS-m
5,Control,Memantine,C/S,c-CS-m
6,Control,Memantine,C/S,c-CS-m
7,Control,Memantine,C/S,c-CS-m
8,Control,Memantine,C/S,c-CS-m
9,Control,Memantine,C/S,c-CS-m
10,Control,Memantine,C/S,c-CS-m
11,Control,Memantine,C/S,c-CS-m
12,Control,Memantine,C/S,c-CS-m
13,Control,Memantine,C/S,c-CS-m
14,Control,Memantine,C/S,c-CS-m
15,Control,Memantine,C/S,c-CS-m
16,Control,Memantine,C/S,c-CS-m
17,Control,Memantine,C/S,c-CS-m
18,Control,Memantine,C/S,c-CS-m
19,Control,Memantine,C/S,c-CS-m
20,Control,Memantine,C/S,c-CS-m
21,Control,Memantine,C/S,c-CS-m
22,Control,Memantine,C/S,c-CS-m
23,Control,Memantine,C/S,c-CS-m
24,Control,Memantine,C/S,c-CS-m
25,Control,Memantine,C/S,c-CS-m
26,Control,Memantine,C/S,c-CS-m
27,Control,Memantine,C/S,c-CS-m
28,Control,Memantine,C/S,c-CS-m
29,Control,Memantine,C/S,c-CS-m
30,Control,Memantine,C/S,c-CS-m
31,Control,Memantine,C/S,c-CS-m
32,Control,Memantine,C/S,c-CS-m
33,Control,Memantine,C/S,c-CS-m
34,Control,Memantine,C/S,c-CS-m
35,Control,Memantine,C/S,c-CS-m
36,Control,Memantine,C/S,c-CS-m
37,Control,Memantine,C/S,c-CS-m
38,Control,Memantine,C/S,c-CS-m
39,Control,Memantine,C/S,c-CS-m
40,Control,Memantine,C/S,c-CS-m
41,Control,Memantine,C/S,c-CS-m
42,Control,Memantine,C/S,c-CS-m
43,Control,Memantine,C/S,c-CS-m
44,Control,Memantine,C/S,c-CS-m
45,Control,Memantine,C/S,c-CS-m
46,Control,Memantine,C/S,c-CS-m
47,Control,Memantine,C/S,c-CS-m
48,Control,Memantine,C/S,c-CS-m
49,Control,Memantine,C/S,c-CS-m
50,Control,Memantine,C/S,c-CS-m
51,Control,Memantine,C/S,c-CS-m
52,Control,Memantine,C/S,c-CS-m
53,Control,Memantine,C/S,c-CS-m
54,Control,Memantine,C/S,c-CS-m
55,Control,Memantine,C/S,c-CS-m
56,Control,Memantine,C/S,c-CS-m
57,Control,Memantine,C/S,c-CS-m
58,Control,Memantine,C/S,c-CS-m
59,Control,Memantine,C/S,c-CS-m
60,Control,Memantine,C/S,c-CS-m
61,Control,Memantine,C/S,c-CS-m
62,Control,Memantine,C/S,c-CS-m
63,Control,Memantine,C/S,c-CS-m
